Species,Lucerne,Lucerne,Lucerne,Lucerne,Ryegrass,Ryegrass,Ryegrass,Ryegrass
2012-01-30,0.10745921915272713,0.2680681208808319,0.2722217993738001,0.2590684841460674,0.4271547682886747,0.6002247054956842,0.6023015447421683,0.6023015447421683
2012-01-31,0.12869917313913085,0.3486775848051351,0.3543666816585662,0.3363512082893676,0.4187099673061287,0.6557556695324265,0.658600217959142,0.658600217959142
2012-02-01,0.14591037727689493,0.4139972149665289,0.42093049525160564,0.398975107682196,0.4118669584320779,0.7007536369769423,0.7042202771194805,0.7042202771194805
2012-02-02,0.15944531128371048,0.46536473559480473,0.47327644484422954,0.4482226988877176,0.4064855991281633,0.7361401511875322,0.7400960058122447,0.7400960058122447
2012-02-03,0.17469813523845792,0.523251959037521,0.532266282066807,0.503720925807401,0.4004212233389264,0.7760180162258479,0.7805251777404909,0.7805251777404909
2012-02-04,0.1912488885813628,0.5860650590738468,0.5962758221038248,0.563941739175561,0.39384080333512084,0.8192892629175389,0.8243946444325279,0.8243946444325279
2012-02-05,0.20748449203411257,0.6476821083222344,0.659066529433134,0.6230158625819516,0.3873856838900516,0.8617365635108727,0.8674287740663225,0.8674287740663225
2012-02-06,0.22460667889083033,0.7126639018145969,0.7252860713729703,0.6853158677714548,0.38057806742894695,0.9065017990278335,0.9128128838070202,0.9128128838070202
2012-02-07,0.24109641232334056,0.7752454202632805,0.7890596187444858,0.7453146568873356,0.3740219083533706,0.9496135117369267,0.9565206109775293,0.9565206109775293
2012-02-08,0.2575,0.8375,0.8524999999999999,0.8049999999999999,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-09,0.2609485062406414,0.8468397044017372,0.8609775778415767,0.8162076452820844,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-10,0.2637008358231269,0.8542939303543021,0.8677437213985203,0.8251527164251624,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-11,0.2662649300015651,0.8612383520875722,0.874047119587181,0.8334860225050867,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-12,0.2690517390400415,0.8687859599001124,0.8808980251401022,0.842543151880135,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-13,0.2718622351844628,0.8763977202912534,0.8878071614951377,0.8516772643495041,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-14,0.27469669875560937,0.8840743924631086,0.8947752177742063,0.8608892709557303,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-15,0.27767146287735267,0.8921310452928302,0.902088179573492,0.8705572543513962,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-16,0.28067145586933323,0.9002560263127775,0.9094631623454441,0.8803072315753329,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-17,0.283943780499485,0.9091185721861053,0.9175076270612339,0.8909422866233262,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-18,0.2871320088955129,0.9177533574253475,0.9253453552014691,0.901304028910417,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-19,0.2897839836386105,0.9249357890212369,0.9318647931115842,0.9099229468254841,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-20,0.2931475526827867,0.9340454551825473,0.9401335670118507,0.9208545462190567,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-21,0.29677280117547855,0.943863836516921,0.9490456362230513,0.9326366038203051,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-22,0.2999866789229142,0.9525680887495593,0.9569464190188307,0.9430817064994712,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-23,0.30370289150885005,0.9626328311698021,0.9660821082925897,0.9551593974037625,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-24,0.30691004155755575,0.9713188625517134,0.9739663521623244,0.9655826350620561,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-25,0.3096320964957567,0.9786910946760077,0.9806580705520686,0.9744293136112093,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-26,0.3122704756810043,0.9858367049693867,0.9871440860491355,0.9830040459632641,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-27,0.3150767670137194,0.9934370773288234,0.9940428855753936,0.992124492794588,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-28,0.3175,1.0,1.0,1.0,0.36750000000000005,0.9924999999999999,1.0,1.0
2012-02-29,0.05,0.05,0.05,0.05,0.45,0.45,0.45,0.45
2012-03-01,0.12329386007354493,0.08244629378749815,0.08302569189084633,0.08128749758080178,0.5137337913683,0.5093883055931886,0.5038840236113808,0.5070707131797958
2012-03-02,0.19300718502032155,0.11330752854654551,0.11443802012773382,0.11104654538416887,0.5743540739307145,0.5658753870718021,0.5551357170505131,0.5613534207470489
2012-03-03,0.264880197821338,0.14512483065608642,0.14682348834637365,0.14172751527551192,0.6368523459315983,0.6241124132544439,0.6079751651967149,0.6173177824932948
2012-03-04,0.33888229561226346,0.17788465260305739,0.18016830711382625,0.17331734358151962,0.701201996184577,0.6840745873538103,0.6623798695015061,0.6749399693107347
2012-03-05,0.4187732588680901,0.213251403135281,0.21616660676269672,0.20742099588044954,0.7706723990157306,0.7488083718101126,0.7211139373496631,0.7371475573004496
2012-03-06,0.5356674569382602,0.26499903232049465,0.2688383007547892,0.25732049545190555,0.8723195277724003,0.8435250145151911,0.8070519643893928,0.8281679407780129
2012-03-07,0.6170361013575154,0.3010199341977934,0.305502433022754,0.2920549365478722,0.9430748707456656,0.9094561295584611,0.8668723907213354,0.8915261342586187
2012-03-08,0.6825,0.32999999999999996,0.33499999999999996,0.32000000000000006,1.0,0.9625,0.915,0.9425
2012-03-09,0.7032158173293739,0.37276813900257827,0.38211177812002767,0.36343639117449356,1.0,0.9675118912893645,0.9263602869225599,0.9501848999770257
2012-03-10,0.7314651387387994,0.4310893186865534,0.44635620261565656,0.42266883929103094,1.0,0.9743464045335805,0.9418518502761158,0.9606644869514901
2012-03-11,0.7626529487844923,0.49547705555508076,0.5172833190098935,0.48806263454812887,1.0,0.981891842447861,0.9589548428818184,0.9722341584200536
2012-03-12,0.7880745683823588,0.5479603992409989,0.5750970022889128,0.5413660304791394,1.0,0.9880422342860545,0.9728957310483903,0.981664759238617
2012-03-13,0.8107594896318163,0.5947937850463303,0.6266869038400984,0.5889311879376793,1.0,0.9935305216851168,0.9853358491529316,0.9900801332505125
2012-03-14,0.8375,0.65,0.6875,0.645,1.0,1.0,1.0,1.0
2012-03-15,0.8492476168280988,0.684361779222189,0.7186311845944617,0.6796554696428914,1.0,1.0,1.0,1.0
2012-03-16,0.8616362797617148,0.7205986183030153,0.7514611413685438,0.7162020252970582,1.0,1.0,1.0,1.0
2012-03-17,0.8767034172099168,0.7646699953390065,0.7913890556062795,0.7606500807692544,1.0,1.0,1.0,1.0
2012-03-18,0.8926235801531102,0.8112364719478469,0.8335774874057416,0.8076145614516748,1.0,1.0,1.0,1.0
2012-03-19,0.9026255594787351,0.8404922614752999,0.8600827326186478,0.8371204004622683,1.0,1.0,1.0,1.0
2012-03-20,0.9117853676756966,0.8672847004514128,0.8843562243405962,0.8641418346433053,1.0,1.0,1.0,1.0
2012-03-21,0.9223485815897176,0.8981821011499236,0.9123487412127513,0.8953033156896666,1.0,1.0,1.0,1.0
2012-03-22,0.9375,0.9424999999999999,0.9524999999999999,0.94,1.0,1.0,1.0,1.0
2012-03-23,0.9366752711033963,0.9456614607703142,0.9551116415059117,0.9432989155864149,1.0,1.0,1.0,1.0
2012-03-24,0.9356836617929067,0.949462629793857,0.958251737655795,0.9472653528283725,1.0,1.0,1.0,1.0
2012-03-25,0.934963046782761,0.9522249873327496,0.9605336851879237,0.9501478128689562,1.0,1.0,1.0,1.0
2012-03-26,0.9343504367473896,0.9545733258016731,0.9624736169665995,0.9525982530104415,1.0,1.0,1.0,1.0
2012-03-27,0.9335726191024558,0.9575549601072533,0.964936706175557,0.9557095235901774,1.0,1.0,1.0,1.0
2012-03-28,0.9329812464089255,0.9598218887657853,0.9668093863717357,0.9580750143642979,1.0,1.0,1.0,1.0
2012-03-29,0.9323511810240956,0.9622371394076332,0.9688045934236971,0.9605952759036173,1.0,1.0,1.0,1.0
2012-03-30,0.931685732191301,0.9647880266000131,0.9709118480608804,0.9632570712347963,1.0,1.0,1.0,1.0
2012-03-31,0.9310880319335921,0.9670792109212303,0.972804565543625,0.9656478722656316,1.0,1.0,1.0,1.0
2012-04-01,0.9304534572501522,0.9695117472077501,0.974814052041185,0.9681861709993915,1.0,1.0,1.0,1.0
2012-04-02,0.9297759714992933,0.9721087759193756,0.9769594235855712,0.9708961140028268,1.0,1.0,1.0,1.0
2012-04-03,0.9291775803006685,0.9744026088474379,0.9788543290478834,0.9732896787973264,0.45,0.45,0.45,0.45
2012-04-04,0.9285915169425986,0.9766491850533721,0.9807101963484378,0.9756339322296057,0.4875198910823687,0.49585764465622845,0.4980517903335599,0.49519940095302895
2012-04-05,0.9279808342687299,0.9789901353032018,0.9826440248156885,0.9780766629250801,0.5266159155888354,0.5436416746085766,0.5481221375085085,0.5422975357385971
2012-04-06,0.9272948754003214,0.9816196442987676,0.9848162278989819,0.9808204983987141,0.570531136827773,0.5973158339006115,0.6043644383934637,0.5952012525527559
2012-04-07,0.926569714726254,0.9843994268826927,0.9871125700335287,0.9837211410949837,0.6169560653505775,0.6540574132062613,0.6638209257998624,0.6511283594281809
